title,postedAt,description,url,fixedPriceBudget,contractType,tags,hourlyRate
"Email, Linkedin profile and Contact Scrap for a list of Companies in Malaysia",5 hours ago,"Hi.. I need help with compiling a list of top executives/ceos/director/head of marketing for top 100 companies (including multinational) in Malaysia.

I will need someone who's meticulous about getting the right contact instead of just the quantity.",/jobs/span-class-highlight-Email-span-Linkedin-profile-and-Contact-span-class-highlight-Scrap-span-for-list-Companies-Malaysia_~01458267f836ac9afb/?referrer_url_path=/nx/search/jobs,$30.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;W;e;b;E;y;L;d;G;o;M;k;R;s;h;B;u;l;O;C;x;2;I;A;m;v;+;8",
Build a list of 3PL providers in UK & Europe,5 hours ago,"We need a comprehensive list with contact email addresses as a minimum for all 3PL providers in UK & EU (companies that hold bulk stock on a contract basis). There will be potential bonusses for further details such as manager names, emails or contact numbers - to be agreed. We will offer milestones to establish the quality of data and understanding of the brief.",/jobs/Build-list-3PL-providers-Europe_~0129f6dbb11deb17a0/?referrer_url_path=/nx/search/jobs,$105.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;M;k;R;s;h;B;u;l;E;y;P;C;m;+;2",
Build a list of disposable PPE stockists in UK & Europe,5 hours ago,"We need a comprehensive list with contact email addresses as a minimum for all stockists of disposable PPE in UK & EU. There will be potential bonusses for further details such as buyers names, emails or contact numbers - to be agreed. We will offer milestones to establish the quality of data and understanding of the brief.",/jobs/Build-list-disposable-PPE-stockists-Europe_~01dbe26285f2212356/?referrer_url_path=/nx/search/jobs,$105.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;M;k;R;s;h;B;u;l;E;y;P;C;m;+;2",
LinkedIn Lead Generation Specialist,9 hours ago,"Want to extract contacts from the LinkedIn sales navigator.
I need the contact name, title, company, URL, email, and LinkedIn URL. I will provide you with the search criteria you only need to extract data and then add emails.",/jobs/LinkedIn-Lead-Generation-Specialist_~0103bd03e0f7ad34d6/?referrer_url_path=/nx/search/jobs,$100.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;s;B;u;l;P;E;y;M;k;R;h;I;C;m;+;3",
Lead Generation Expert,9 hours ago,"Looking for a list of 200 online tutors within California including the following Info:

- Name
- Location
- Email
-Category

Looking for someone to start working immediately.",/jobs/Lead-Generation-Expert_~0156e36a3a3223f689/?referrer_url_path=/nx/search/jobs,$300.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;E;m;l;M;k;e;L;d;G;o;s;B;u;P;R;h;y;C;+;3",
Email List Builder,10 hours ago,"Job Description:

Are you passionate about data collection and resourceful in your online research abilities? We are seeking a detail-oriented individual to join our team as an Email List Builder. In this role, you will be responsible for scouring the internet to gather contact information and expand our email list for an upcoming product launch.

Responsibilities:
1. Conduct thorough research online to identify potential leads and contacts within our target audience.
2. Utilize various tools and platforms to collect email addresses, names, and other relevant contact details.
3. Organize and maintain an updated database of contacts, ensuring accuracy and completeness.

Qualifications:
-Strong proficiency in online research methods and data extraction techniques.
-Excellent attention to detail and accuracy in data entry and organization.
-Familiarity with email marketing platforms and CRM systems is preferred.
-Effective communication skills, both written and verbal.
-Ability to work independently and manage time efficiently to meet deadlines.
-Adaptability and willingness to learn new tools and techniques.
-Prior experience in lead generation or email list building is a plus.

Join Our Team:
If you are driven by the challenge of uncovering valuable leads and contributing to the success of a dynamic product launch, we want to hear from you! Apply now to become our Email List Builder and play a crucial role in expanding our outreach efforts.",/jobs/span-class-highlight-Email-span-List-Builder_~01e736b6ef1c8a4087/?referrer_url_path=/nx/search/jobs,,Hourly: $5.00 - $7.00,"D;a;t; ;S;c;r;p;i;n;g;,;A;u;y;V;e;f;o;O;l;R;s;h;C;m;k;G;&;P;E;L;B;d;+;2",$5.00 - $7.00
Data engineer for data scrapping,11 hours ago,"We are looking for Expert Data engineer to work with our AI team.ONLY APPLY IF YOU HAVE WORKED WITH DATA SCRAPPING IN PAST and have expertise in data cleaning and data warehouse 

SCOPE OF WORK
1: You need to create an spider/scrapper for three websites and one email text parser . you can use octoparse or custom scrapper.

2: These three website are log in protected thus need a scrapper to log in and then scrap the data. Data is NOT complex, its having 8-10 fields only per website . Scrapper will crawl the data twice a day

3 : Email : Data will be sent to email on daily basis as HTML formal and need to crawl that 

Job Description:
Required Skills: Python / Scala, spark/pyspark, Hive, AWS, EMR, S3, SQL, Airflow/ Github.

Time line : 3 weeks 

IMPORTANT 
1: You need to participate in daily scrum with the team and one weekly meeting with client 
2:  seamless communication with team 

Only apply if you have the above skills and meet the timeline and budget",/jobs/Data-engineer-for-data-span-class-highlight-scrapping-span_~011324884f64364e4b/?referrer_url_path=/nx/search/jobs,$900.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;A;h;e;f;l;o;w;b;s;P;y;E;T;L;M;W;m;+;1",
Data mining contact list,11 hours ago,"I am looking for someone to compile an excel list of all business brokers, certified public accounts with a specialization in transaction advisory services, business transaction (M&A) attorneys, and M&A transaction advisors that are located in the state of Virginia (USA), Maryland (USA), and Washigton DC (USA).

The excel list produced should include the following information for each entry.

-Role (business broker, accountant, transaction attorney, transaction advisor, etc)
-Name of contact (individual person)
-Name of company/firm
-Company/firm description
-Location (city, state)
-Link to website
-Email
-Phone number

Thanks",/jobs/Data-mining-contact-list_~01580ee5c1c64e00fe/?referrer_url_path=/nx/search/jobs,$50.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;O;l;e;R;s;h;L;d;G;o;E;y;B;u;M",
[Quick 5 Star]  Scrape Faceless Influencers on Youtube/IG,12 hours ago,"I want to hire a person to scrape a list on Youtube / IG influencers.

These are the requirements:
- Faceless Youtube/IG
- First names
- Emails


if you have the list already compiled, I will buy it directly off of you.",/jobs/Quick-Star-span-class-highlight-Scrape-span-Faceless-Influencers-Youtube_~01c3363588169ac8ed/?referrer_url_path=/nx/search/jobs,,Hourly: $10.00 - $20.00,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o",$10.00 - $20.00
Leads List Building and Data Collection,14 hours ago,"We are looking for a highly skilled and experienced Leads List Building and Data Collection Specialist to become a valuable member of our team. In this role, you will have the exciting opportunity to work on a project that requires exceptional attention to detail and a passion for conducting thorough research. 

As our Leads List Building and Data Collection Specialist, your main responsibility will be to build and verify Email Lists and Prospect Lists, ensuring that we have accurate and up-to-date data to support our business objectives. You will also play a crucial role in managing our CRM system, ensuring that it is effectively utilized to maximize our sales and marketing efforts. 

To succeed in this role, you must possess excellent communication skills, both written and verbal, as you will be collaborating with various stakeholders within the organization. Additionally, you should be proficient in using a wide range of tools and techniques to gather data, ensuring that the information we collect is comprehensive and reliable. 

This position offers a unique opportunity to work with a dynamic team that is passionate about driving the growth of our project. You will have the chance to contribute your expertise and make a significant impact on our success. 

Key Responsibilities:
- Build and verify Email Lists and Prospect Lists to support our business objectives
- Ensure the accuracy and reliability of the data collected
- Manage and maintain our CRM system, optimizing its usage to enhance our sales and marketing efforts
- Collaborate with various stakeholders to understand their data requirements and provide them with accurate information
- Utilize various tools and techniques to gather data and conduct thorough research
- Stay updated with industry trends and best practices in Leads List Building and Data Collection
- Continuously improve and streamline our data collection processes to enhance efficiency and effectiveness

Qualifications:
- Proven experience in Leads List Building and Data Collection
- Excellent attention to detail and meticulousness in handling data
- Strong analytical and problem-solving skills
- Proficient in using various tools and techniques to gather accurate and up-to-date data
- Excellent communication skills, both written and verbal
- Ability to work independently and collaboratively in a team environment
- Familiarity with CRM systems and their functionalities
- Strong organizational and time management skills
- Ability to thrive in a fast-paced and dynamic work environment

If you are a motivated and results-driven individual with a passion for Leads List Building and Data Collection, we would love to hear from you. Join our team and contribute to the growth and success of our project. Apply now!",/jobs/Leads-List-Building-and-Data-Collection_~01c160a9cfdb0ad6b4/?referrer_url_path=/nx/search/jobs,$50.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;E;y;L;s;B;u;l;d;P;o;e;M",
Compile contact list for sales team from Instagram / websites,14 hours ago,"Seeking an individual that can build a list of contacts using Instagram profiles and websites. The job is not difficult, but it will require exploring instagram pages and looking for specific individuals that meet our ideal customer profile. Then extracting information such as the username, name, phone number, and email of the contacts.

Expectations: 
- 2 to 3 hours of work per day
- Generating lists of 30-50 contacts per day
- Comfortable using Instagram and researching information online

Requirements:
- Must have and Instagram profile
- Must have a computer and access to the internet
- Preferred: have a linkedin profile

Let me know if you have any questions!",/jobs/Compile-contact-list-for-sales-team-from-Instagram-websites_~01b35165482ed5b632/?referrer_url_path=/nx/search/jobs,,Hourly: $3.00 - $5.00,"D;a;t; ;S;c;r;p;i;n;g;,;E;y;L;s;B;u;l;d;P;o;e;C;A;m;v",$3.00 - $5.00
"I need a bulk B2B business list for US companies including names, phone numbers, email addresses",15 hours ago,"I am looking for a B2B prospect list of small to medium-sized 10,000 United States companies that will include:

- Business name
- Contact name
- Phone numbers
- Email addresses
- Website address

I am looking for small to medium sized businesses, not franchises or chains.",/jobs/need-bulk-B2B-business-list-for-companies-including-names-phone-numbers-span-class-highlight-email-span-addresses_~012c77b491f3cb3f5e/?referrer_url_path=/nx/search/jobs,$40.00,Fixed price,"L;e;a;d; ;G;n;r;t;i;o;,;D;M;g;P;s;p;c;W;b;C;w;l;B;u",
LinkedIn Sales Navigator Data Scraper Needed - Big Job,15 hours ago,"looking for someone that can help scrape a large number of data from LinkedIn Sales Navigator, we could end up hiring more than one freelancer for this job.

we have a specific set of filters that can be applied inside of LinkedIn Sales Navigator and would love to get a minimum of 1M or more leads.",/jobs/LinkedIn-Sales-Navigator-Data-span-class-highlight-Scraper-span-Needed-Big-Job_~012abe959421c6be35/?referrer_url_path=/nx/search/jobs,$200.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;s;B;u;l",
LinkedIn Cold Email Outreach Specialist *NEEDED*,15 hours ago,"We are seeking a highly skilled and motivated individual to join our team as a Remote Lead Generation Specialist. As a specialist in LinkedIn cold email outreach, you will be responsible for creating and executing effective cold email campaigns to generate leads for our company, you will also be in charge of managing the cold email outreach campaign.",/jobs/LinkedIn-Cold-span-class-highlight-Email-span-Outreach-Specialist-NEEDED_~0139b07a1d9824b402/?referrer_url_path=/nx/search/jobs,,Hourly,"E;m;a;i;l; ;M;r;k;e;t;n;g;,;C;o;u;c;D;S;p;s;f;R;L;d;G;P;y;B;+;5",Hourly
Need a list of leads that use clickfunnels.,16 hours ago,"Need a list of 1k high quality emails that use click funnels.

Please respond to the job with cf to be considered.

Price is negotiable for high quality work.",/jobs/Need-list-leads-that-use-clickfunnels_~012fbbb35802cf2ea0/?referrer_url_path=/nx/search/jobs,$100.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;E;d;u;o;L;e;G;s;B;l;P",
3M Lead Generation Job Post,17 hours ago,"At Farm To Flame Energy, we provide affordable and renewable energy to the masses while becoming the best versions of ourselves.

We need you to get us 3,000,000 Leads Including

-First and Last Name
-LinkedIn Profile URL
-Email Address
-Profession
-Industry 
-Location (City, State, Country)

Using the following filters: 

https://docs.google.com/spreadsheets/d/10WxvYXNx6Q7rq_pON5W8kBRNtU0CyLsdMnGFXiadFMg/edit

We need this done for $3,000 or less.",/jobs/Lead-Generation-Job-Post_~014aa8682397027f1e/?referrer_url_path=/nx/search/jobs,"$3,000.00",Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;E;e;y;&;U;l;s;F;A;o;u;L;d;G;B",
"Data & Info Scraping, Bussinesses/Organizations",yesterday,"Hello, We are looking to build a robust list of informaiton around bussinsess in certain regions, we need someone who can scrape data/contact info/etc. for all bussiness in a city.

We also need a few websites scraped for data as well.",/jobs/Data-amp-Info-span-class-highlight-Scraping-span-Bussinesses-Organizations_~011ec0da2319848a6c/?referrer_url_path=/nx/search/jobs,$100.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;M;E;x;o;L;e;d;G",
Email lead generation,yesterday,"Hi, we are a trade show service contractor based in Las Vegas, US, we are planing to reach out to potential exhibitors of the trade show.

We will provide the name of the trade shows, we will need you to get the marketing guys emails of each exhibitor, and do the email campaign accordingly.

Here is an example trade show we want to pitch, https://iwf24.mapyourshow.com/8_0/explore/exhibitor-gallery.cfm?featured=false, please get the emails of each exhibitor, and we will then provide the email content for you to do the campaign. 

Let me know if you have any question.

Thank you",/jobs/span-class-highlight-Email-span-lead-generation_~01ee2fab77b1098432/?referrer_url_path=/nx/search/jobs,$300.00,Fixed price,"E;m;a;i;l; ;M;r;k;e;t;n;g;,;D;S;c;p;L;d;G;o;P;s",
Lead Scraping automation,yesterday,"I am looking for an expert data scraper (web, facebook groups, linked and etc based by zip codes where that person resides).

I own local business, and we generate leads into Gohighlvel

I need to automate scraping lead information for people living in certain zipcode/neighborhoods ( I need - phone number, email & Name for people for that specific zip code are).

I need these leads to be automated in a format that we can easily import into gohighlevel or intergate software into Gohighlevel for automation scraping and outbound outreach.",/jobs/Lead-span-class-highlight-Scraping-span-automation_~015c42a2a0309b633c/?referrer_url_path=/nx/search/jobs,,Hourly: $20.00 - $200.00,"D;a;t; ;S;c;r;p;i;n;g;,;A;P;I;e;o;M;L;d;G;s;B;u;l;m;E;x",$20.00 - $200.00
"Leads Generation B2C (emails), targeted from social media, browser. Fashion company. Need 10 K/ day",yesterday,"Hello, 
I need for my email marketing company 10.000 emails per day (just the email address, nothing else) targeted B2C leads from social media, can also be from Lindekin - from people who follow lingerie companies. 
I can provide the names of many lingerie companies from which I want future customers.
I simply need people who are interested in lingerie, for example, have searched for lingerie in the last 3 months on a search engine (if possible).
Targeting - I mean this can only be B2C (any mailers are not accepted - especially emails to my competitors, i.e. companies that are lingerie manufacturer), best woman.
Also can be ladies who like fashion and searched for fashion in last 3 months in browser.
Any more ideas are accpetable. 
Example from Instagram and Facebook people who like Victoria's Secret brand (exclusing companies).
We just need good leads which will give us sale.

We need 10.000 leeds per day.
I just want good price, is daily job.
Let me know You offer and ideas how we can do it.
Regards, 
Patric",/jobs/Leads-Generation-B2C-span-class-highlight-emails-span-targeted-from-social-media-browser-Fashion-company-Need-day_~011bca041369c11bb5/?referrer_url_path=/nx/search/jobs,$20.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;W;e;b;o;l;M;d;L;G",
Data Extraction Project,yesterday,"Hi All,

We are sincerely looking for experienced and versatile data miners or data extractors for Singapore Education Sector (mainly emails IDs) (specialist in manual data mining from various sources to consolidate our data mining requirements.)


Please only people who can find the data we need are needed.

Sales, excel work and data management skill people are NOT SUITABLE for this job.

ONLY DATA MINERS ARE REQUIRED!


We can start immediately.

Bids are welcome!


Many thanks in advance.",/jobs/Data-Extraction-Project_~01693999523024270b/?referrer_url_path=/nx/search/jobs,$300.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;O;l;e;R;s;h;M;C;o",
"Mailer prep, incomplete addresses and owner contact information",yesterday,"Hello, I was recommended your services by a friend. I am in the process of building a mailer (around 2000 contacts), and I am missing data for ~40% of the list. I need assistance in finding the decision maker/owners name, and the correct mailing address (bonus points if we can source email, but that is not a priority at the moment). How long would it take you to complete such a list, if we say 1000 entries need either the primary contact's first and last name, and or the businesses mailing address. It is all within healthcare, so the information is often publicly available on NPI look up sites. Thanks in advance",/jobs/Mailer-prep-incomplete-addresses-and-owner-contact-information_~0199b363f60553658f/?referrer_url_path=/nx/search/jobs,,Hourly,"D;a;t; ;S;c;r;p;i;n;g;,;E;m;l;L;s;y;O;e;R;h;M;d;G;o;B;u;C;P;V;A;x;W;k;+;7",Hourly
Need Lead Generation specialist,yesterday,"We need a specialist who will organize, launch and implement paid advertising in any web platforms (social network, websites, etc.) in order to get targeted leads . To research potential customers and generate targeted leads for businesse in a sphere of meditation, coaching and personal consultations, spirituality, self-development. 
We are looking for german-speaking women , who lives in Europe and interested in spiritual development. 

We are looking for a specialist who lives in Europe. German language is preferable.
We offer the payment conditions based on actual leads received (to be discussed)

The experience in Europe and in our niche is appreciated . Also we we are looking for specialists with experience in the related niches.

Areas of Expertise: ✔️ Data Entry ✔️ Lead Generation ✔️ Data Extraction ✔️ Data Scraping ✔️ Online Research ✔️ Email Sourcing ✔️ Data Management ✔️ Contact List Building ✔️ Company Email Scraping",/jobs/Need-Lead-Generation-specialist_~01695a27a2f58d580c/?referrer_url_path=/nx/search/jobs,,Hourly: $15.00 - $45.00,"E;m;a;i;l; ;M;r;k;e;t;n;g;,;D;S;c;p;L;d;G;o;A;y;s;B;u;C;R;h;P;+;5",$15.00 - $45.00
Lead Generation Expert,yesterday,"I need USA Solar Installation Companies with following data;

1. Business Name
2. Website URLs
3. Email
4. Phone Number

Looking forward to hearing from you. 

Thanks",/jobs/Lead-Generation-Expert_~0166d2f3c95ee2a76b/?referrer_url_path=/nx/search/jobs,,Hourly: $3.00 - $5.00,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;E;y;s;B;u;l;P;M;k;R;h",$3.00 - $5.00
Email Skip Tracing for Landowners,yesterday,Seeking a freelancer to find the email addresses of 376 foreign individuals who own land in the US.,/jobs/span-class-highlight-Email-span-Skip-Tracing-for-Landowners_~01cd2001cf71e2f466/?referrer_url_path=/nx/search/jobs,$10.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;M;E;y",
Instagram Followers ...,yesterday,"I need to get the followers list of the following accounts scraped and put into an spreadsheet in Open Office and then have the duplicates removed I need the following ... 

@puckprospects
@officialneutralzone
@usahockey
@hockeycanada

The information I need from each profile ...

@ handle ...
Name of Person
All information below their title ... category - links - personal data etc etc ... plus if available their email scraped (some people have it and some do not) ...

This is a SIMPLE JOB for an experienced coder and I will need someone that can get this done very quickly and without issues or problems.",/jobs/Instagram-Followers_~017f809d19c5c17a18/?referrer_url_path=/nx/search/jobs,$125.00,Fixed price,"I;n;s;t;a;g;r;m;,",
Expert Data Scraper Urgently Needed,yesterday,"We are looking for someone who excels at scraping data. 

THE JOB
Here's how the job will work.

We'll give you criteria for the kind of person we are looking for. One of those criteria is that the person must be an author who has a published book on Amazon (you'll get the other criteria after applying if we think we would be a good fit). Then, your job will be to find the following details of people who match our criteria:
- Name
- Book title and link
- Contact info (email, phone number)
- Instagram profile link (mandatory; they must have a valid IG profile)
- Other online platform links (like LinkedIn, YouTube, if they have)

We will give you the spreadsheet on which to enter this information. 

COMPENSATION AND DEADLINES
We need 1,000 leads and a turnaround time of 7 days for the entire project, and 24 hours for the first 50 leads (ideally the first 100). ONLY APPLY IF YOU CAN PRODUCE LEADS QUICKLY, as timing is non-negotiable.

We will pay a total price of  $200. If there are duplicates or invalid links, we will detract that from pay.

If you do good work, we will have a lot of projects for you to work on, so this could become a very good partnership. 

Put ""I'm an ambitious go-getter"" at the start of your application. 

We look forward to finding our lead-scraping partner :)",/jobs/Expert-Data-span-class-highlight-Scraper-span-Urgently-Needed_~01411a0fff8950b6db/?referrer_url_path=/nx/search/jobs,,Hourly,"D;a;t; ;S;c;r;p;i;n;g;,;M;O;l;e;R;s;h;C;E;y;x;o",Hourly
B2C Lead generation,yesterday,"We are looking to get  B2C leads for our kitchen cabinetry company is California. We want to get only B2C leads based in LA and SF. 

Can you scrap the contact emails from the reviewers on website like Houzz, or from the reviewers on Google maps? Please write how you gonna get us 500-100  leads per week organically no paid ads.Include ‘CA’ at the top I o be considered thanks!",/jobs/B2C-Lead-generation_~0146c31260fbe6a8db/?referrer_url_path=/nx/search/jobs,,Hourly: $3.00 - $10.00,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;s;B;u;l;P",$3.00 - $10.00
Lead generation,yesterday,Want to create a lead generation tool for a company.,/jobs/Lead-generation_~01bcf09029a9d2c5e6/?referrer_url_path=/nx/search/jobs,,Hourly,"D;a;t; ;S;c;r;p;i;n;g;,;E;m;l;L;s;y;B;u;d;e;G;o;C;O;R;h;Z;I;f;T;.;A;V;2;P;H;b;+;7",Hourly
Need a List building agency to start working immediately,yesterday,"This is a trial project of 1000 contacts. I need to hire the agency to work on 17K + companies after the trial project. I just need 1 decision maker per company. Just need F Name/ L Name and business Email. There are 15 other fields which needs to be verified . All the information is available on the company website. Need a team who can get this done quickly. Need experts in web research. We will provide the name of the company and web address.

The task is simple. Just add 1 contact per company and verify details from their website if they provide the facilities(mentioned in the list I will be sharing with selected agency). Need to start as soon as possible and need the first 1000 companies worked on ASAP",/jobs/Need-List-building-agency-start-working-immediately_~01ae99e57c454713aa/?referrer_url_path=/nx/search/jobs,$75.00,Fixed price,"E;m;a;i;l;,;D;t; ;S;c;r;p;n;g;L;s;B;u;d;C;o;y;R;e;h;P",
Purchasing Mobile numbers and email data of C level and HR / Recruiting managers,yesterday,"This is not a lead generation or data mining job, need data you got for someone else, and want to sell it to a new customer at a very cheap price.

We are looking for a skilled Contact Data Acquisition Specialist to procure contact information, including email addresses, phone numbers, and LinkedIn profile URLs, of CEOs and other C-level executives. 

The ideal candidate will have experience in data mining, lead generation, and web research techniques to gather comprehensive and reliable contact details from diverse sources. This role offers an exciting opportunity to contribute to our data acquisition efforts and provide valuable insights to our clients.",/jobs/Purchasing-Mobile-numbers-and-span-class-highlight-email-span-data-level-and-Recruiting-managers_~01cc62d72fe8866464/?referrer_url_path=/nx/search/jobs,$100.00,Fixed price,"E;m;a;i;l; ;M;r;k;e;t;n;g;,;D;S;c;p;L;d;G;o;P;s",
Lead Generation Expert to find Verified Emails and Phone Numbers,yesterday,"I am seeking a diligent and detail oriented Lead Generation Specialist to help identify decision makers. I need verified email leads as well as phone number of decision makers. The companies located in USA. 
The following data is required:
Company Name
Industry 
Owner details
Phone Numbers
Verified Emails 
Data should be provided in CSV file. We are looking for long term and will be happy to sign contract after a trail period.",/jobs/Lead-Generation-Expert-find-Verified-span-class-highlight-Emails-span-and-Phone-Numbers_~012cf201fec9a857cf/?referrer_url_path=/nx/search/jobs,$10.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;s;B;u;l;d;P;o;e;M;E;y",
